Key,russian
ulmResource4x4TruckChassis,"Шасси 4x4 «Рейнджер»"
ulmResource4x4TruckInterior,"Салон 4x4 «Рейнджер»"
ulmResource4x4TruckAccessories,"Комплектующие 4x4 «Рейнджер»"
ulmModVehicle4x4TruckPlow,"Отвал 4x4 «Рейнджер»"
ulmVehicle4x4TruckLootable,"Грузовик 4x4"
ulmVehicle4x4TruckSecure,"Грузовик 4x4"
ulmVehicle4x4TruckWrecked,"Грузовик 4x4"
vehicleTruck4x4Placeable,"4x4 «Бульдог»"
vehicleTruck4x4PlaceableDesc,"Управляемое транспортное средство. Используйте вторичное действие, чтобы разместить."
vehicleTruck4x4Chassis,"Шасси 4x4 «Бульдог»"
vehicleTruck4x4Accessories,"Комплектующие 4x4 «Бульдог»"
modVehiclePlow,"Отвал 4x4 «Бульдог»"
ulmVehicleHumvee,"Военный 4x4"
ulmVehicleHumveeSnow,"Военный 4x4"
ulmVehicleHumveeSnowCargo,"Военный 4x4"
ulmVehicleHumveeDesert,"Военный 4x4"
ulmVehicleHumveeDesertCargo,"Военный 4x4"
ulmVehicleHumveeJungle,"Военный 4x4"
ulmVehicleHumveeJungleCargo,"Военный 4x4"
ulmVehicleHumveeBurnt,"Военный 4x4"
ulmVehicleHumveeBurntCargo,"Военный 4x4"
ulmVehicleHumveeLootable,"Военный 4x4 | Случайный спавнер"
ulmVehicleHumveeSecure,"Военный 4x4 | Случайный спавнер"
ulmVehicleHumveeRandomHelper,"Военный 4x4 | Случайный вариант"
ulmVehicleSUV,"Джип"
ulmVehicleSUVPolice,"Полицейский джип"
ulmVehicleSUVSecurity,"Джип охраны"
ulmModVehicleSUVBrushGuard,"Кенгурятник внедорожника"
ulmVehicleSUV01Lootable,"Внедорожник 01 | Случайный спавнер"
ulmVehicleSUV01Abandoned,"Брошенный Внедорожник 01 | Случайный спавнер"
ulmVehicleSUV01AbandonedWide,"Заброшенный внедорожник 01, ширина 3 | Случайный спавнер"
ulmVehicleSUV01AbandonedDoors,"Брошенный Внедорожник 01 Двери | Случайный спавнер"
ulmVehicleSUV01AbandonedDoorsWide,"Заброшенный внедорожник 01 с дверями, ширина 3 | Случайный спавнер"
ulmVehicleSUV02,"Джип"
ulmVehicleSUV02White,"Джип"
ulmVehicleSUV02Gray,"Джип"
ulmVehicleSUV02Black,"Джип"
ulmVehicleSUV02Blue,"Джип"
ulmVehicleSUV02Cyan,"Джип"
ulmVehicleSUV02Green,"Джип"
ulmVehicleSUV02Purple,"Джип"
ulmVehicleSUV02Red,"Джип"
ulmVehicleSUV02Cherry,"Джип"
ulmVehicleSUV02Pink,"Джип"
ulmVehicleSUV02Yellow,"Джип"
ulmVehicleSUV02Orange,"Джип"
ulmVehicleSUV02Brown,"Джип"
ulmVehicleSUV02Beige,"Джип"
ulmVehicleSUV02Police,"Полицейский джип"
ulmVehicleSUV02Security,"Джип охраны"
ulmVehicleSUV02Lootable,"Внедорожник | Случайный спавнер"
ulmVehicleSUV02Secure,"Защищённый Внедорожник | Случайный спавнер"
ulmVehicleSUV02Wrecked,"Разбитый Внедорожник | Случайный спавнер"
ulmVehicleSUV02PoliceLootable,"Полицейский внедорожник | Случайный спавнер"
ulmVehicleSUV02PoliceSecure,"Полицейский внедорожник | Случайный спавнер"
ulmVehicleSUV02PoliceWrecked,"Разбитый полицейский внедорожник | Случайный спавнер"
ulmVehicleSUV02SecurityLootable,"Внедорожник охраны | Случайный спавнер"
ulmVehicleSUV02SecuritySecure,"Защищённый внедорожник охраны | Случайный спавнер"
ulmVehicleSUV02SecurityWrecked,"Разбитый внедорожник охраны | Случайный спавнер"
ulmVehiclePoliceRandomHelper,"Полицейская машина | Случайный вариант"
ulmVehiclePoliceSUVRandomHelper,"Полицейский внедорожник | Случайный вариант"
ulmVehiclePickup,"Пикап"
ulmVehiclePickup01,"Пикап 01 | Случайный спавнер"
ulmVehiclePickup01Wide,"Пикап 01, ширина 3 | Случайный спавнер"
ulmVehiclePickup01Abandoned,"Брошенный Пикап 01 | Случайный спавнер"
ulmVehiclePickup01AbandonedWide,"Заброшенный пикап 01, ширина 3 | Случайный спавнер"
ulmVehiclePickup01AbandonedDoors,"Брошенный Пикап 01 Двери | Случайный спавнер"
ulmVehiclePickup01AbandonedDoorsWide,"Заброшенный пикап 01 с дверями, ширина 3 | Случайный спавнер"
ulmVehicleMinivan,"Минивэн"
ulmVehicleMinivan01Lootable,"Минивэн 01 | Случайный спавнер"
ulmVehicleMinivan01Wide,"Минивэн 01, ширина 3 | Случайный спавнер"
ulmVehicleMinivan02,"Фургон"
ulmVehicleMinivan02White,"Фургон"
ulmVehicleMinivan02Gray,"Фургон"
ulmVehicleMinivan02Black,"Фургон"
ulmVehicleMinivan02Blue,"Фургон"
ulmVehicleMinivan02Cyan,"Фургон"
ulmVehicleMinivan02Green,"Фургон"
ulmVehicleMinivan02Purple,"Фургон"
ulmVehicleMinivan02Pink,"Фургон"
ulmVehicleMinivan02Yellow,"Фургон"
ulmVehicleMinivan02Orange,"Фургон"
ulmVehicleMinivan02Brown,"Фургон"
ulmVehicleMinivan02Red,"Фургон"
ulmVehicleMinivan02Lootable,"Старый фургон | Случайный спавнер"
ulmVehicleMinivan02Secure,"Защищённый Старый фургон | Случайный спавнер"
ulmVehicleMinivan02Wrecked,"Старый фургон Разбитый | Случайный спавнер"
ulmVehicleSemiTruck,"Тягач"
ulmVehicleSemiTruck01Lootable,"Тягач 01 | Случайный спавнер"
ulmVehicleSemiTruck01ModularFront,"Тягач 01 Модульная передняя часть | Случайный спавнер"
ulmVehicleFireTruck,"Пожарная машина"
ulmVehicleFireTruck01Lootable,"Пожарная машина 01 | Случайный спавнер"
ulmVehicleMilitaryTruck,"Военный грузовик"
ulmVehicleMilitaryTruckDesertTarp1,"Военный грузовик"
ulmVehicleMilitaryTruckDesertTarp2,"Военный грузовик"
ulmVehicleMilitaryTruckDesertTarp3,"Военный грузовик"
ulmVehicleMilitaryTruckDesertRails,"Военный грузовик"
ulmVehicleMilitaryTruckCamoTarp1,"Военный грузовик"
ulmVehicleMilitaryTruckCamoTarp2,"Военный грузовик"
ulmVehicleMilitaryTruckCamoTarp3,"Военный грузовик"
ulmVehicleMilitaryTruckCamoRails,"Военный грузовик"
ulmVehicleMilitaryTruckLootable,"Военный грузовик | Случайный спавнер"
ulmVehicleMilitaryTruckSecure,"Защищённый военный грузовик | Случайный спавнер"
ulmVehicleMilitaryTruckRandomHelper,"военный грузовик | Случайный вариант"
ulmVehicleServiceTruck,"Фургон"
ulmVehicleBoxTruckLootable,"Грузовой фургон | Случайный вариант"
ulmVehicleServiceTruck,"Сервисный грузовик"
ulmVehicleServiceTruckLootable,"Сервисный грузовик | Случайный вариант"
ulmVehicleBicycle,"Велосипед"
ulmVehicleBicycle1,"Велосипед «Рывок»"
ulmVehicleBicycle1Desc,"Управляемое транспортное средство. Используйте вторичное действие, чтобы разместить."
ulmResourceBicycleAccessories,"Комплектующие «Дэш»"
ulmResourceBicycleAccessoriesDesc,"Комплектующие для сборки велосипеда «Дэш»."
ulmResourceBicycleChassis,"Рама «Дэш»"
ulmResourceBicycleChassisDesc,"Рама для сборки велосипеда «Дэш»."
ulmResourceBicycleHandlebars,"Руль «Дэш»"
ulmResourceBicycleHandlebarsDesc,"Руль для сборки велосипеда «Дэш»."
ulmVehicleBicycle01Fallen,"Велосипед 01 Лежащий | Случайный спавнер"
ulmVehicleBicycle01LeanLeft,"Велосипед 01 Наклонён влево | Случайный спавнер"
ulmVehicleBicycle01LeanRight,"Велосипед 01 Наклонён вправо | Случайный спавнер"
vehicleBicyclePlaceable,"Велосипед"
vehicleBicyclePlaceableDesc,"Управляемое транспортное средство. Используйте вторичное действие, чтобы разместить."
vehicleBicycleChassis,"Рама горного велосипеда"
vehicleBicycleChassisDesc,"Очень прочная и надёжная рама, готовая выдержать самые суровые дороги."
vehicleBicycleHandlebars,"Руль горного велосипеда"
vehicleBicycleHandlebarsDesc,"Более универсальный и удобный руль, рассчитанный на лучшее управление велосипедом на бездорожье."
ulmVehicleMinibike,"Минибайк"
ulmVehicleMinibikeOld,"Мини-байк «Комета»"
ulmVehicleMinibikeOldDesc,"Управляемое транспортное средство. Используйте вторичное действие, чтобы разместить."
ulmResourceMinibikeHandlebars,"Руль «Кометы»"
ulmResourceMinibikeHandlebarsDesc,"Руль для мини-байка «Комета»."
ulmResourceMinibikeChassis,"Рама «Кометы»"
ulmResourceMinibikeChassisDesc,"Рама для мини-байка «Комета»."
ulmResourceMinibikeAccessories,"Комплектующие «Кометы»"
ulmResourceMinibikeAccessoriesDesc,"Комплектующие для мини-байка «Комета»."
ulmVehicleMinibike01Fallen,"Минибайк 01 Лежащий | Случайный спавнер"
ulmVehicleMinibike01LeanLeft,"Минибайк 01 Наклонён влево | Случайный спавнер"
ulmVehicleMinibike01LeanRight,"Минибайк 01 Наклонён вправо | Случайный спавнер"
vehicleMinibikePlaceable,"Мини-байк «Ракета»"
vehicleMinibikePlaceableDesc,"Управляемое транспортное средство. Используйте вторичное действие, чтобы разместить."
vehicleMinibikeHandlebars,"Руль «Ракеты»"
vehicleMinibikeHandlebarsDesc,"Руль для мини-байка «Ракета»."
vehicleMinibikeChassis,"Рама «Ракеты»"
vehicleMinibikeChassisDesc,"Рама для мини-байка «Ракета»."
ulmVehicleMotorcycle,"Мотоцикл"
ulmVehicleMotorcycle01,"Бродяга"
ulmVehicleMotorcycle01Fallen,"Мотоцикл 01 Лежащий | Случайный спавнер"
ulmVehicleMotorcycle01LeanLeft,"Мотоцикл 01 Наклонён влево | Случайный спавнер"
ulmVehicleMotorcycle01LeanRight,"Мотоцикл 01 Наклонён вправо | Случайный спавнер"
vehicleMotorcyclePlaceable,"«Мародёр»"
vehicleMotorcyclePlaceableDesc,"Управляемое транспортное средство. Используйте вторичное действие, чтобы разместить."
vehicleMotorcycleHandlebars,"Руль «Мародёра»"
vehicleMotorcycleHandlebarsDesc,"Руль для мотоцикла «Мародёр»."
vehicleMotorcycleChassis,"Шасси «Мародёра»"
vehicleMotorcycleChassisDesc,"Шасси для мотоцикла «Мародёр»."
modVehicleArmor,"Броня «Мародёра»"
modVehicleArmorDesc,"Усиление брони для мотоцикла «Мародёр». Снижает урон при столкновениях передней частью транспорта и увеличивает урон, наносимый объектам."
ulmVehicleMotorcycle03,"Отступник"
ulmVehicleMotorcycle03White,"Отступник"
ulmVehicleMotorcycle03Gray,"Отступник"
ulmVehicleMotorcycle03Black,"Отступник"
ulmVehicleMotorcycle03LightBlue,"Отступник"
ulmVehicleMotorcycle03DarkBlue,"Отступник"
ulmVehicleMotorcycle03Cyan,"Отступник"
ulmVehicleMotorcycle03RetroGreen,"Отступник"
ulmVehicleMotorcycle03LimeGreen,"Отступник"
ulmVehicleMotorcycle03ForestGreen,"Отступник"
ulmVehicleMotorcycle03Purple,"Отступник"
ulmVehicleMotorcycle03Pink,"Отступник"
ulmVehicleMotorcycle03Yellow,"Отступник"
ulmVehicleMotorcycle03Orange,"Отступник"
ulmVehicleMotorcycle03Brown,"Отступник"
ulmVehicleMotorcycle03Red,"Отступник"
ulmVehicleMotorcycle03Cherry,"Отступник"
ulmVehicleMotorcycle03Fallen,"Мотоцикл 03 Лежащий | Случайный спавнер"
ulmVehicleMotorcycle03LeanLeft,"Мотоцикл 03 Наклонён влево | Случайный спавнер"
ulmVehicleMotorcycle03LeanRight,"Мотоцикл 03 Наклонён вправо | Случайный спавнер"
ulmVehicleDirtBike,"Кроссовый мотоцикл"
ulmVehicleDirtBike01,"Громовержец"
ulmVehicleDirtBike01White,"Громовержец"
ulmVehicleDirtBike01Gray,"Громовержец"
ulmVehicleDirtBike01Black,"Громовержец"
ulmVehicleDirtBike01LightBlue,"Громовержец"
ulmVehicleDirtBike01DarkBlue,"Громовержец"
ulmVehicleDirtBike01Cyan,"Громовержец"
ulmVehicleDirtBike01RetroGreen,"Громовержец"
ulmVehicleDirtBike01LimeGreen,"Громовержец"
ulmVehicleDirtBike01ForestGreen,"Громовержец"
ulmVehicleDirtBike01Purple,"Громовержец"
ulmVehicleDirtBike01Pink,"Громовержец"
ulmVehicleDirtBike01Yellow,"Громовержец"
ulmVehicleDirtBike01Orange,"Громовержец"
ulmVehicleDirtBike01Brown,"Громовержец"
ulmVehicleDirtBike01Red,"Громовержец"
ulmVehicleDirtBike01Cherry,"Громовержец"
ulmVehicleDirtBike01Fallen,"Громовержец 01 Лежащий | Случайный спавнер"
ulmVehicleDirtBike01LeanLeft,"Громовержец 01 Наклонён влево | Случайный спавнер"
ulmVehicleDirtBike01LeanRight,"Громовержец 01 Наклонён вправо | Случайный спавнер"
ulmVehicleBikesFallenRandomHelper,"Мотоциклы Лежащий | Случайный вариант"
ulmVehicleBikesLeanLeftRandomHelper,"Мотоциклы Наклонён влево | Случайный вариант"
ulmVehicleBikesLeanRightRandomHelper,"Мотоциклы Наклонён вправо | Случайный вариант"
ulmVehicleGokart,"Карт"
ulmVehicleGokart01,"Карт"
ulmVehicleGokart01White,"Карт"
ulmVehicleGokart01Gray,"Карт"
ulmVehicleGokart01Black,"Карт"
ulmVehicleGokart01LightBlue,"Карт"
ulmVehicleGokart01DarkBlue,"Карт"
ulmVehicleGokart01Cyan,"Карт"
ulmVehicleGokart01RetroGreen,"Карт"
ulmVehicleGokart01LimeGreen,"Карт"
ulmVehicleGokart01ForestGreen,"Карт"
ulmVehicleGokart01Purple,"Карт"
ulmVehicleGokart01Pink,"Карт"
ulmVehicleGokart01Yellow,"Карт"
ulmVehicleGokart01Orange,"Карт"
ulmVehicleGokart01Brown,"Карт"
ulmVehicleGokart01Red,"Карт"
ulmVehicleGokart01Cherry,"Карт"
ulmVehicleGokart01RandomHelper,"Карт | Случайный вариант"
ulmVehicleGokart01Spawner,"Карт | Случайный спавнер"
ulmVehicleQuadBike,"Квадроцикл"
ulmVehicleQuadBike01,"Квадроцикл"
ulmVehicleQuadBike01Desert,"Квадроцикл"
ulmVehicleQuadBike01Raider,"Квадроцикл"
ulmVehicleQuadBike01HotRod,"Квадроцикл"
ulmVehicleQuadBike01Digital,"Квадроцикл"
ulmVehicleQuadBike01Snow,"Квадроцикл"
ulmVehicleQuadBike01Woodland,"Квадроцикл"
ulmVehicleQuadBike01Spawner,"Квадроцикл"
ulmVehicleQuadBikeRandomHelper,"квадроцикл мотоцикл | Случайный вариант"
ulmVehiclesAllVariantHelper,"Транспорт (POI)"
quest,"Задание"
questChain,"Цепочка заданий"
treasure,"Тайник"
RewardQuest_keyword,"Задание"
RewardTypeChainQuest,"Цепочка наград"
RewardSkillPoint_keyword,"Очки умений"
ulmSkillBook,"Книга навыков"
ulmSkillBookOffer,"Прочитав эту [decea3]книгу навыка[-], вы получите два очка навыков."
ulmQuestIntroduction,"Введение"
ulmQuestIntroductionOffer,"Если вы читаете это, значит, вы еще живы!\n\nПомните, пустошь может быть жестоким и неумолимым местом, вот небольшое руководство, которое поможет вам начать [decea3]Undead Legacy[-]!"
ulmQuestIntroduction1,"Введение (1 из 6)"
ulmQuestIntroduction1Subtitle,"Сумка на случай эвакуации"
ulmQuestIntroduction1Desc,"[decea3]Положите[-] свою [decea3]сумку на случай эвакуации[-] и проверьте её содержимое."
ulmQuestIntroduction2,"Введение (2 из 6)"
ulmQuestIntroduction2Subtitle,"Ваш журнал"
ulmQuestIntroduction2Desc,"Ознакомьтесь с особенностями [decea3]Undead Legacy[-] в окне [decea3]журнала[-], там же может содержаться полезная информация о других аспектах игры."
ulmQuestIntroduction3,"Введение (3 из 6)"
ulmQuestIntroduction3Subtitle,"Первые инструменты"
ulmQuestIntroduction3Desc,"Сделайте себе [decea3]каменный топор[-] и [decea3]каменную кирку[-], которые помогут вам собирать ресурсы и защищаться. Найдите ингредиенты и сделайте себе первые инструменты!"
ulmQuestIntroduction4,"Введение (4 из 6)"
ulmQuestIntroduction4Subtitle,"Первое оружие ближнего боя"
ulmQuestIntroduction4Desc,"Сделайте [decea3]деревянное копьё[-], чтобы лучше защищаться. Если вам нужна [decea3]верёвка[-], ее делают в [decea3]столе плотника[-], [decea3]смолу[-] можно собрать с живых деревьев ножом."
ulmQuestIntroduction5,"Введение (5 из 6)"
ulmQuestIntroduction5Subtitle,"Первый верстак"
ulmQuestIntroduction5Desc,"Постройте [decea3]стол плотника[-], который поможет вам переработать древесину в более полезные предметы. Найдите ингредиенты и сделайте себе первый верстак!"
ulmQuestIntroduction6,"Введение (6 из 6)"
ulmQuestIntroduction6Subtitle,"Первый лук"
ulmQuestIntroduction6Desc,"Сделайте [decea3]лук (примитивный)[-] и [decea3]стрелу (каменную)[-], чтобы у вас было базовое оружие дальнего боя. Все предметы изготавливаются в [decea3]столе плотника[-]."
ulmQuestTutorialGroup,"Путь выжившего"
ulmQuestTutorialGroupDesc,"Если вы читаете это, значит, вы еще живы!\n\nПомните, пустошь может быть жестоким и неумолимым местом, вот небольшое руководство, которое поможет вам начать [decea3]Undead Legacy[-]!"
ulmQuestTutorial01,"Спасательная сумка"
ulmQuestTutorial01Desc,"[decea3]Разместите[-] на земле [decea3]сумку на случай эвакуации[-] и [decea3]откройте[-] чтобы посмотреть, что в ней есть."
ulmQuestTutorial02,"Первые инструменты"
ulmQuestTutorial02Desc,"Найдите ингредиенты и сделайте себе [decea3]каменный топор[-] и [decea3]каменную кирку[-], которые помогут вам собирать ресурсы и защищаться."
ulmQuestTutorial03,"Первое оружие"
ulmQuestTutorial03Desc,"Сделайте [decea3]деревянное копьё[-], чтобы лучше защищаться. Если вам нужно больше [decea3]верёвки[-], ее делают в [decea3]столе плотника[-], [decea3]смолу[-] можно собрать с невысохших деревьев."
ulmQuestTutorial04,"Первое рабочее место"
ulmQuestTutorial04Desc,"Соберите достаточно материалов, чтобы собрать [decea3]стол плотника[-], он поможет вам переработать древесину в более полезные предметы."
ulmQuestTutorial05,"Стол плотника"
ulmQuestTutorial05Desc,"Установите [decea3]стол плотника[-], который поможет вам переработать древесину в более полезные предметы. Найдите ингредиенты и сделайте себе первый верстак!"
ulmQuestTutorial06,"Первый лук"
ulmQuestTutorial06Desc,"Соберите материалы, чтобы сделать [decea3]лук (примитивный)[-] и [decea3]стрелу (каменную)[-]. Все предметы изготавливаются в [decea3]столе плотника[-]."
ulmQuestTutorial07,"Изготовление лука"
ulmQuestTutorial07Desc,"Сделайте [decea3]лук (примитивный)[-] и [decea3]стрелу (каменную)[-], чтобы у него было базовое оружие дальнего боя. Все ингредиенты изготавливаются в [decea3]столе плотника[-]."
ulmQuestSurvivalTrader,"Найти поселение"
ulmQuestSurvivalTraderDesc,"Похоже, на карте отмечено потенциальное место поселения выживших. Исследуйте это место и узнайте, есть ли в нем выжившие. Если они есть, поговорите с ними и узнайте, нет ли у них дополнительной информации."
ulmQuestSurvivalBasics,"Основы выживания"
ulmQuestSurvivalBasicsDesc,"Если вы добрались до этого момента — поздравляем, но это только начало!\n\nЕсли хотите выживать долго, нужно понимать, что впереди ещё очень длинный путь.\n\nПомните: пустошь — жестокое и беспощадное место, которое никого не щадит. Эта серия заданий поможет вам освоиться в суровом мире [decea3]Undead Legacy[-] и, возможно, вы проживёте достаточно долго, чтобы передать эти знания другим выжившим!\n\nУдачи, выживший!"
ulmQuestSurvivalCampfire,"Основы кулинарии"
ulmQuestSurvivalCampfireDesc,"Создайте или найдите [decea3]костёр[-]. Он полезен для приготовления различной пищи и согревания."
ulmQuestSurvivalMaintenance,"Основы техобслуживания"
ulmQuestSurvivalMaintenanceDesc,"Создайте или найдите [decea3]Стол техобслуживания[-]. Там вы можете отремонтировать или модернизировать свое оборудование, такое как броня, оружие, инструменты и транспортные средства."
ulmQuestSurvivalResearch,"Основы науки"
ulmQuestSurvivalResearchDesc,"Создайте или найдите [decea3]стол исследователя[-]. Там вы можете исследовать и изучать новые технологии и чертежи, создавая новые схемы, чертежи и рецепты."
ulmQuestSurvivalArtisan,"Основы кладки"
ulmQuestSurvivalArtisanDesc,"Создайте или найдите [decea3]стол ремесленника[-]. Там вы можете изготовить различные виды строительных и декоративных блоков, в основном из камня."
ulmQuestSurvivalFurnace,"Основы плавки"
ulmQuestSurvivalFurnaceDesc,"Создайте или найдите [decea3]горн[-]. Там вы можете плавить руду или металлолом и превращать их в слитки, а также производить кирпичи, цемент и стекло."
ulmQuestSurvivalForge,"Основы кузнечного дела"
ulmQuestSurvivalForgeDesc,"Создайте или найдите [decea3]кузницу[-]. Там вы сможете переработать различные металлы и их слитки в полезные предметы."
ulmQuestSurvivalCarpenter2,"Продвинутое плотничество"
ulmQuestSurvivalCarpenter2Desc,"Улучшите [decea3]стол плотника[-] или найдите и [decea3]стол плотника (Ур. 2)[-]. Там вы сможете более эффективно обрабатывать и совершенствовать дерево, а также изготавливать из него более сложные вещи.\n\n[decea3]Чтобы модернизировать рабочие места, удерживайте клавишу взаимодействия с радиальным меню, а затем выберите опцию 'Улучшить'[-]."
ulmQuestTreasureEllianniaOffer,"Дорогой выживший,\nЕсли ты читаешь эту записку, скорее всего, меня уже нет рядом. Вместо того чтобы позволить моим запасам пропасть зря, я хочу, чтобы один из тайников достался тебе. Я отметила его местоположение на этой карте.\n\nУдачи,\nЭллианния"
quest_journal,"Журнал"
ulmObjectiveInteractWith,"Исп-ть {0}"
ulmObjectiveOpenContainer,"Открыть {0}"
ulmObjectiveBlockPlace,"Разместить {0}"
ulmObjectiveOpenWindow,"Открыть {0}"
ulmObjectiveGather,"Собрать {0}"
ulmObjectiveObtain,"Получить {0}"
abandoned_house_01,"Заброшенный дом 1"
abandoned_house_02,"Заброшенный дом 2"
abandoned_house_03,"Заброшенный дом 3"
abandoned_house_04,"Заброшенный дом 4"
abandoned_house_05,"Заброшенный дом 5"
abandoned_house_06,"Заброшенный дом 6"
abandoned_house_07,"Заброшенный дом 7"
abandoned_house_08,"Заброшенный дом 8"
apartment_adobe_red_5_flr,"5-этажный жилой дом"
apartment_brick_6_flr,"два немного башня"
apartments_01,"Жилой комплекс 1"
army_barracks_01,"Армейский пост 7"
army_camp_01,"Армейский лагерь 1"
army_camp_02,"Армейский лагерь 2"
army_camp_03,"Армейский лагерь 3"
auto_mechanic_01,"A1 Авто"
bank_01,"Банк «Stock»"
bank_02,"Банк «Seemore»"
bar_01,"Buzzs-Бар"
bar_sm_01,"Buzzs-Бар"
barn_01,"Амбар 1"
barn_02,"Амбар 2"
barn_03,"Амбар 3"
blueberryfield_sm,"Черничная поляна"
bluff01,"Обрыв"
body_shop_01,"Кузовной автосервис"
bombshelter_01,"Свалка «Barts»"
bombshelter_02,"Странный дом"
bombshelter_md_01,"Странный дом"
bridge_asphalt_broken,"Разрушенный мост"
bridge_asphalt1,"Мост"
bridge_concrete1,"Бетонный мост"
bridge_wood1,"Деревянный мост"
bridge_wood2,"Поврежденный деревянный мост"
bus_stop_01,"Автобусная остановка"
bus_wreck_01,"Остов автобуса"
business_burnt_01,"Omalley Oats"
business_burnt_02,"Navezgane Creamery"
cabin_01,"Хижина 1"
cabin_02,"Хижина 2"
cabin_03,"Хижина 3"
cabin_04,"Хижина 4"
cabin_05,"Хижина 5"
cabin_06,"Хижина 6"
cabin_07,"Хижина 7"
cabin_08,"Хижина 8"
cabin_09,"Хижина 9"
cabin_10,"Хижина 10"
cabin_11,"Хижина 11"
cabin_12,"Хижина 12"
cabin_13,"Хижина 13"
cabin_14,"Хижина 14"
cabin_15,"Хижина 15"
cabin_16,"Хижина 16"
canyon_car_wreck,"Автомобиль каньон остов"
canyon_cliff_dwellings,"Жилища в скалах"
canyon_gift_shop,"Магазин подарков Каньон"
canyon_gift_shop_sign,"Магазин подарков Каньон вывеска"
canyon_mine,"Шахта Каньона"
carlot_01,"Joey's Carlot"
carlot_02,"Carl's Автомобили"
cave_01,"Пещера 1"
cave_02,"Пещера 2"
cave_03,"Пещера 3"
cave_04,"Пещера 4"
cave_05,"Пещера 5"
cemetery_01,"Кладбище 1"
cemetery_02,"Кладбище 2"
church_01,"Церковь"
church_graveyard1,"Церковь с кладбищем"
church_sm_01,"Малая церковь"
city_center_01,"Olgiddy и Brother"
commercial_strip_01,"Торговый комплекс 1"
commercial_strip_02,"Торговый комплекс 2"
cornfield_lg,"Большое кукурузное поле"
cornfield_med,"Среднее кукурузное поле"
cornfield_sm,"Маленькое кукурузное поле"
country_junkyard_01,"Junkin's Junkyard"
countrytown_business_01,"Большие Булочки"
countrytown_business_02,"Почта"
countrytown_business_03,"-Bear-Den"
countrytown_business_04,"Aldo's шкаф"
countrytown_business_05,"Butcher Petes"
countrytown_business_06,"Красный Рубин"
countrytown_business_07,"Maggie's угловой Cafe"
countrytown_business_08,"Кемпинг снаряжение «Wildfire»"
countrytown_business_09,"4когда-либо Video"
countrytown_business_10,"Бар «Bobcats»"
countrytown_business_13,"Бар «Дохлый Петух»"
countrytown_business_14,"Паб «Grumpy's»"
courthouse_med_01,"Мэрия"
culvert_01,"Кювет"
deco_coal_vein,"Угольная жила"
deco_iron_vein,"Железная жила"
deco_lead_vein,"Свинцовая жила"
deco_nitrate_vein,"Нитратная жила"
deco_remnant_stone_01,"Руины 1"
deco_remnant_stone_02,"Руины 2"
deco_remnant_stone_03,"Руины 3"
deco_remnant_stone_04,"Руины 4"
deco_remnant_stone_05,"Руины 5"
deco_remnant_wood_01,"Руины деревянного дома 1"
deco_remnant_wood_02,"деревянный дом Ruins 1"
deco_rubble_stone_01,"Каменный булыжник 1"
deco_rubble_stone_02,"Каменный булыжник 2"
deco_rubble_stone_03,"Каменный булыжник 3"
deco_rubble_stone_04,"Каменный булыжник 4"
deco_rubble_stone_05,"Каменный булыжник 5"
deco_rubble_stone_06,"Каменный булыжник 6"
deco_rubble_stone_07,"Каменный булыжник 7"
deco_rubble_stone_08,"Каменный булыжник 8"
deco_rubble_stone_09,"Каменный булыжник 9"
deco_rubble_stone_10,"Каменный булыжник 10"
deco_shale_vein,"Сланцевая жила"
departure_bridge_01,"Депарчер Мост"
departure_bridge_02,"Депарчер Мост остаётся"
departure_city_blk_01,"Депарчер город Блок"
departure_city_blk_plaza,"Городская площадь"
departure_city_sign,"Депарчер город табличка"
desert_arch,"Пустынная арка"
desert_form01,"Пустынная формация 1"
desert_form02,"Пустынная формация 2"
diersville_city_blk_01,"Город Дирсвилл Блок 1"
diersville_city_blk_02,"Город Дирсвилл Блок 2"
diersville_city_sign_01,"Городская табличка Дирсвилля"
diner_01,"Закусочная 1"
diner_02,"Кафе у Боба"
diner_03,"Дель кафе"
docks_01,"Заправка BJS"
docks_02,"Pals Marina"
docks_03,"Haulwell Freight Co."
docks_04,"Доки 4"
docks_05,"Живая наживка"
downtown_building_01,"Здание в центре 1"
downtown_building_02,"Здание в центре 2"
downtown_building_03,"Обрушившееся здание"
downtown_building_05,"Здание в центре 5"
downtown_business_06,"специальный Tottz"
downtown_business_07,"Doggo's"
downtown_filler_01,"юкка сок/Azy физподготовка"
downtown_filler_02,"Cloud 88/LeSpank"
downtown_filler_03,"Wyzeguy CPA/Schittz Law"
downtown_filler_04,"Апартаменты центр 4"
downtown_filler_05,"Апартаменты центр 5"
downtown_filler_06,"Съемные квартиры"
downtown_filler_07,"Клиника Dumpsy"
downtown_filler_08,"Жилой дом в центре 8"
downtown_filler_09,"Sub-Guy"
downtown_filler_11,"Fit коробка"
downtown_filler_12,"Crack--книга/Savage Country"
downtown_filler_13,"Луиджи"
downtown_filler_14,"Почта в центре"
downtown_filler_15,"Еда Shamway"
downtown_filler_21,"Zip кофе"
downtown_filler_22,"Пончики Gonuts"
downtown_filler_23,"Банк HNN"
downtown_filler_24,"Магазин Fancy"
downtown_filler_25,"Мама Пицца"
downtown_filler_26,"Центр города 26"
downtown_filler_27,"Прачечная ОК"
downtown_filler_29,"Центр города 27"
downtown_filler_30,"KLZ Радио"
